# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/annals/age_V_02.json:EV-1532.body	the meeting of the ships	->	Coinneachadh nan Long	|	enn, rowed west by fishers of Achadh àrsaidh past the meeting of the ships, sees it sink below the sea's
CHANGE	eras/age_V/annals/age_V_02.json:EV-1537.title	the high custodian's	->	Ceann a' Chùraim's	|	Tull draws the high custodian's tooth
CHANGE	eras/age_V/annals/age_V_03.json:EV-2035.body	The Company's	->	A' Chompanaidh's	|	The Company's men at Ros dhomhain give up H
CHANGE	eras/age_V/annals/age_V_03.json:EV-2036.body	the Company	->	A' Chompanaidh	|	 dhearg, in their own tongue and under seal, that the Company has passed wholly to Thomas P
CHANGE	eras/age_V/annals/age_V_03.json:EV-2037.body	the Company	->	A' Chompanaidh	|	, its share of the vein-dues now paid in marks by the Company and fewer than before, finds 
CHANGE	eras/age_V/annals/age_V_03.json:EV-2038.body	the Company's	->	A' Chompanaidh's	|	oal by the sack at the market of Cathair mhòr off the Company's carts. Pàdraig Cam counts the
CHANGE	eras/age_V/annals/age_V_03.json:EV-2007.body	the Residency	->	Taigh an Àrd-mhaoir	|	ers it as read and filed. The same sitting grants the Residency leave to widen the road to Mu
CHANGE	eras/age_V/annals/age_V_03.json:EV-2040.body	the Small-Burning Law	->	Lagh an Loscaidh Bhig	|	est from Dùn dhearg with her letter in defence of the Small-Burning Law sewn in calfskin. She lodges 
CHANGE	eras/age_V/annals/age_V_03.json:EV-2008.title	The Company's	->	A' Chompanaidh's	|	The Company's agents seize the hawk sermon 
CHANGE	eras/age_V/annals/age_V_03.json:EV-2008.body	The Company's	->	A' Chompanaidh's	|	The Company's agents at Muileann chrom go f
CHANGE	eras/age_V/annals/age_V_03.json:EV-2045.title	The Company's	->	A' Chompanaidh's	|	The Company's accounts filed beside the def
CHANGE	eras/age_V/annals/age_V_03.json:EV-2045.body	the Company's	->	A' Chompanaidh's	|	The copy of the Company's half-year accounts, sent in a
CHANGE	eras/age_V/annals/age_V_03.json:EV-2046.body	the Commissioner's	->	An t-Àrd-mhaor's	|	dox comes before the council at Cathair dhearg in the Commissioner's carriage, greets each custodi
CHANGE	eras/age_V/annals/age_V_03.json:EV-2046.body	the Company's	->	A' Chompanaidh's	|	ouble the yield of the pits. He does not speak of the Company's letter promising him a share 
CHANGE	eras/age_V/annals/age_V_03.json:EV-2009.body	the Company's	->	A' Chompanaidh's	|	Before the Company's fellers come, the woodreeve o
CHANGE	eras/age_V/annals/age_V_03.json:EV-2009.body	the Holy Age	->	An Aois Naomh	|	ring lot had fallen on, as the town had cut since the Holy Age, and plant six acorns in the 
CHANGE	eras/age_V/annals/age_V_03.json:EV-2047.body	the Company's	->	A' Chompanaidh's	|	 that the custodians of Cathair fhada, in debt to the Company's store for seed, had the right
CHANGE	eras/age_V/annals/age_V_04.json:EV-2513.body	the dry cough	->	An Casad Tioram	|	With the dry cough running through the summer am
CHANGE	eras/age_V/annals/age_V_04.json:EV-2514.body	the dry cough	->	An Casad Tioram	|	At the harvests after the fall and after the dry cough the crews of Muileann chrom a
CHANGE	eras/age_V/annals/age_V_04.json:EV-2515.body	the dry cough	->	An Casad Tioram	|	hòmhnaill drives fourteen orphans of the fall and the dry cough in a borrowed cart from Muile
CHANGE	eras/age_V/annals/age_V_05.json:EV-3045.body	the house of disputation	->	Taigh na Deasbaid	|	In the autumn three students of the house of disputation at Dùn thais walk over the hi
CHANGE	eras/age_V/annals/age_V_05.json:EV-3007.body	the charter of Cathair gheal	->	Cairt Chathair gheal	|	The council at Cathair dhearg protests the charter of Cathair gheal, which names no custodian, an
CHANGE	eras/age_V/annals/age_V_05.json:EV-3007.body	the Company's	->	A' Chompanaidh's	|	of the carting families, who worked five years at the Company's weigh-house.
CHANGE	eras/age_V/annals/age_V_05.json:EV-3047.body	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	he spring, they sell no more, and give no reason. The Mission's letters speak of a coolness a
CHANGE	eras/age_V/annals/age_V_05.json:EV-3048.body	a Company ship	->	a ship of A' Chompanaidh	|	n of Eachann Mòr, thirteen years old, goes aboard a Company ship at the quay below the Residen
CHANGE	eras/age_V/annals/age_V_05.json:EV-3048.body	the Residency	->	Taigh an Àrd-mhaoir	|	old, goes aboard a Company ship at the quay below the Residency at Ros dhomhain with the Miss
CHANGE	eras/age_V/annals/age_V_05.json:EV-3048.body	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	the quay below the Residency at Ros dhomhain with the Mission's letter and a purse of marks s
CHANGE	eras/age_V/annals/age_V_05.json:EV-3008.body	the Mission school	->	Scoil na Teachdaireachd	|	 writes to his son in Dia-thìris, pays a pupil of the Mission school to put it into the humans' to
